"",ccle_gdsc_cells
"1",22RV1
"2",42MGBA
"3",5637
"4",639V
"5",697
"6",769P
"7",7860
"8",8305C
"9",8505C
"10",8MGBA
"11",A172
"12",A204
"13",A2058
"14",A253
"15",A2780
"16",A375
"17",A549
"18",A673
"19",ACHN
"20",ALLSIL
"21",AMO1
"22",AN3CA
"23",ASPC1
"24",AU565
"25",BCPAP
"26",BFTC909
"27",BL41
"28",BL70
"29",BT20
"30",BT474
"31",BT549
"32",BXPC3
"33",C2BBE1
"34",C32
"35",C3A
"36",CAL12T
"37",CAL27
"38",CAL78
"39",CAL851
"40",CALU3
"41",CALU6
"42",CAMA1
"43",CAPAN2
"44",CAS1
"45",CCK81
"46",CHL1
"47",CHP212
"48",COLO205
"49",COLO678
"50",COLO679
"51",COLO741
"52",CORL105
"53",CORL23
"54",DAOY
"55",DBTRG05MG
"56",DEL
"57",DETROIT562
"58",DKMG
"59",DMS114
"60",DOHH2
"61",DOV13
"62",DU145
"63",EB2
"64",EBC1
"65",EFM19
"66",EFO21
"67",EFO27
"68",EM2
"69",EN
"70",ES2
"71",ESS1
"72",FADU
"73",FU97
"74",FUOV1
"75",G361
"76",G401
"77",G402
"78",GAMG
"79",GB1
"80",GCIY
"81",GCT
"82",GI1
"83",GMS10
"84",GRANTA519
"85",H4
"86",HARA
"87",HCC1187
"88",HCC1395
"89",HCC15
"90",HCC1569
"91",HCC1806
"92",HCC1954
"93",HCC44
"94",HCC56
"95",HCC70
"96",HCC78
"97",HCC827
"98",HCT116
"99",HCT15
"100",HDMYZ
"101",HDQP1
"102",HGC27
"103",HH
"104",HLE
"105",HOS
"106",HPAC
"107",HPAFII
"108",HS578T
"109",HS683
"110",HS746T
"111",HS766T
"112",HS939T
"113",HSC2
"114",HT
"115",HT1080
"116",HT1197
"117",HT1376
"118",HT144
"119",HT29
"120",HUCCT1
"121",HUH1
"122",HUPT3
"123",HUPT4
"124",IALM
"125",IGR37
"126",IGROV1
"127",IM95
"128",IPC298
"129",ISTMES1
"130",J82
"131",JHH2
"132",JHH4
"133",JHH6
"134",JHH7
"135",JHOS2
"136",JHOS4
"137",JM1
"138",JURKAT
"139",JVM3
"140",KALS1
"141",KARPAS299
"142",KARPAS422
"143",KARPAS620
"144",KCL22
"145",KELLY
"146",KG1
"147",KLE
"148",KMRC1
"149",KMS11
"150",KMS12BM
"151",KNS42
"152",KNS62
"153",KO52
"154",KP1N
"155",KP2
"156",KP3
"157",KP4
"158",KU812
"159",KURAMOCHI
"160",KYM1
"161",KYSE140
"162",KYSE150
"163",KYSE180
"164",KYSE30
"165",KYSE410
"166",KYSE450
"167",KYSE510
"168",KYSE520
"169",KYSE70
"170",L363
"171",L428
"172",LCLC103H
"173",LN18
"174",LN229
"175",LOUNH91
"176",LOXIMVI
"177",LP1
"178",LS123
"179",LS411N
"180",LS513
"181",MALME3M
"182",MC116
"183",MCAS
"184",MCF7
"185",MDAMB157
"186",MDAMB175VII
"187",MDAMB415
"188",MDAMB436
"189",MDAMB453
"190",MDAMB468
"191",MEG01
"192",MELHO
"193",MESSA
"194",MEWO
"195",MFE280
"196",MFE296
"197",MFE319
"198",MG63
"199",MHHES1
"200",MIAPACA2
"201",MKN45
"202",MKN7
"203",MOGGCCM
"204",MOLP8
"205",MOLT16
"206",MPP89
"207",MSTO211H
"208",NCIH1048
"209",NCIH1092
"210",NCIH1155
"211",NCIH1299
"212",NCIH1341
"213",NCIH1355
"214",NCIH1563
"215",NCIH1568
"216",NCIH1573
"217",NCIH1581
"218",NCIH1648
"219",NCIH1650
"220",NCIH1651
"221",NCIH1666
"222",NCIH1693
"223",NCIH1694
"224",NCIH1703
"225",NCIH1792
"226",NCIH1793
"227",NCIH1869
"228",NCIH1915
"229",NCIH1944
"230",NCIH1975
"231",NCIH2009
"232",NCIH2023
"233",NCIH2030
"234",NCIH2052
"235",NCIH2085
"236",NCIH2087
"237",NCIH211
"238",NCIH2122
"239",NCIH2170
"240",NCIH2172
"241",NCIH2228
"242",NCIH226
"243",NCIH23
"244",NCIH2444
"245",NCIH2452
"246",NCIH28
"247",NCIH358
"248",NCIH441
"249",NCIH460
"250",NCIH520
"251",NCIH522
"252",NCIH647
"253",NCIH650
"254",NCIH661
"255",NCIH727
"256",NCIH747
"257",NCIH810
"258",NCIN87
"259",NUGC3
"260",NUGC4
"261",OC314
"262",OCIAML2
"263",OCIAML5
"264",OCUM1
"265",OE21
"266",OE33
"267",ONS76
"268",OPM2
"269",OV90
"270",OVCAR4
"271",OVCAR8
"272",OVTOKO
"273",P12ICHIKAWA
"274",P31FUJ
"275",PANC0203
"276",PANC0327
"277",PANC0403
"278",PANC1005
"279",PATU8902
"280",PC14
"281",PC3
"282",PSN1
"283",QGP1
"284",RAJI
"285",RD
"286",REH
"287",RERFGC1B
"288",RERFLCMS
"289",RKN
"290",RKO
"291",RL952
"292",RPMI7951
"293",RPMI8402
"294",RT112
"295",RT4
"296",RVH421
"297",SAOS2
"298",SBC5
"299",SCABER
"300",SCC25
"301",SCC9
"302",SF126
"303",SF295
"304",SHP77
"305",SIGM5
"306",SIMA
"307",SJRH30
"308",SJSA1
"309",SKCO1
"310",SKES1
"311",SKHEP1
"312",SKLMS1
"313",SKLU1
"314",SKMEL2
"315",SKMEL24
"316",SKMEL30
"317",SKMEL31
"318",SKMEL5
"319",SKMES1
"320",SKMM2
"321",SKNAS
"322",SKNDZ
"323",SKNFI
"324",SKNSH
"325",SKOV3
"326",SNGM
"327",SNU182
"328",SNU387
"329",SNU398
"330",SNU423
"331",SNU449
"332",SNU475
"333",SU8686
"334",SUDHL10
"335",SUDHL4
"336",SUDHL6
"337",SUDHL8
"338",SUIT2
"339",SUPM2
"340",SUPT1
"341",SW1088
"342",SW1271
"343",SW1417
"344",SW1573
"345",SW1990
"346",SW403
"347",SW48
"348",SW620
"349",SW780
"350",SW900
"351",T24
"352",T47D
"353",T84
"354",T98G
"355",TC71
"356",TCCSUP
"357",TE1
"358",TE11
"359",TE15
"360",TE5
"361",TE9
"362",TOV112D
"363",TOV21G
"364",TT2609C02
"365",TYKNU
"366",U118MG
"367",U2OS
"368",U87MG
"369",UACC257
"370",UACC62
"371",UACC812
"372",UMUC3
"373",VMRCLCD
"374",VMRCRCW
"375",VMRCRCZ
"376",WM115
"377",YKG1
"378",ZR7530
